Tweet id,Tweet permalink,Tweet text,time (utc),date (cst),"score (10x user profile click, 5x retweet, 7x reply, 1x favorite, 1x url click, 1x detail expand)",Followers (est),impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,time of day,day of week,char length (not including url),topic:technology?,topic:privacy?,topic:data?,topic:education?,content type: website?,content type: blog?,content type: article?,content type: video?,content source,number of hashtags,#edchat?,#edtech?,#dataforstudents?,#eddata or #educationdata?,conference related?,image?,11-noon Tuesday?,url?,quotation?,questionmark?,people count,people:news,people:author,people:other,hand scored?,normalization factor,normalized score,standard deviation,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted favorites,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted embedded media clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted video views
5.85E+17,https://twitter.com/Learnmetrics/status/585099773302169601,_ÑÒWhat Does a School Need to Enable Learning Based on Student Competency?_Ñ #edchat http://t.co/qS7AlJqdzo,2015-04-06 15:20 +0000,4/6/15,2,1001,237,3,0.012658228,0,0,0,0,2,1,0,10:20,Monday,85,,,,,,,,,,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,TRUE,0,,,,,0.53212789,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.84E+17,https://twitter.com/Learnmetrics/status/584089304378568704,High school graduation rates improve across groups while achievement gaps have narrowed too. http://t.co/SIqsZOQMJN  #edchat,2015-04-03 20:25 +0000,4/3/15,8,986,398,4,0.010050251,1,0,2,0,0,0,1,15:25,Friday,92,,,,,,,,,,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.54088954,4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.84E+17,https://twitter.com/Learnmetrics/status/584012609218813952,_ÑÒMeasuring preschool absenteeism is a relatively new metric for many school systems_Ñ @educationweek #dataforstudents http://t.co/ZIgUtSrcik,2015-04-03 15:20 +0000,4/3/15,13,986,340,10,0.029411765,1,0,1,0,2,1,5,10:20,Friday,120,,,,,,,,,,1,FALSE,FALSE,TRUE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,,,0.54088954,7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.84E+17,https://twitter.com/Learnmetrics/status/583974878132449280,"_ÑÒWhen culture, tech, and innovative curriculum design align, school is a truly 21st century life-building experience_Ñ http://t.co/nfP4cb5rxG",2015-04-03 12:50 +0000,4/3/15,30,986,526,13,0.024714829,2,0,3,1,5,0,2,7:50,Friday,121,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.54088954,16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.84E+17,https://twitter.com/Learnmetrics/status/583724488451317761,_ÑÒWe need to find a way to make higher ed opportunities more obvious to low-income high achievers._Ñ http://t.co/kpOlN7Gxuc,2015-04-02 20:15 +0000,4/2/15,1,981,277,1,0.003610108,0,0,0,0,1,0,0,15:15,Thursday,102,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.54381009,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.84E+17,https://twitter.com/Learnmetrics/status/583656584242450432,"_ÑÒI had essentially created a transparent, real-time metrics dashboard for my students_Ñ__ÑÓ_Ñ_and for me._Ñ @schildkrout http://t.co/upKXIZRErx",2015-04-02 15:45 +0000,4/2/15,1,981,237,1,0.004219409,0,0,0,0,1,0,0,10:45,Thursday,123,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,,,0.54381009,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.84E+17,https://twitter.com/Learnmetrics/status/583604971024818176,Schools are _ÑÒbacking away from _ÑÉzero tolerance_Ñé disciplinary policies_Ñ - @nytimes #edchat http://t.co/Ykx1KR5p0i,2015-04-02 12:20 +0000,4/2/15,6,981,273,6,0.021978022,0,0,1,0,3,0,2,7:20,Thursday,97,,,,,,,,,,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,,,0.54381009,3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.83E+17,https://twitter.com/Learnmetrics/status/583370896179621888,"What should you look for in a charter school for your child? _ÑÒFirst, take a close look at school culture and mission_Ñ http://t.co/r2Bp0fQw3G",2015-04-01 20:50 +0000,4/1/15,0,976,220,0,0,0,0,0,0,0,0,0,15:50,Wednesday,121,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,TRUE,0,,,,,0.54673064,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.83E+17,https://twitter.com/Learnmetrics/status/583291594327109633,Equip your child with tools to defend against zombies to create authentic learning experiences (and save lives) http://t.co/c4hMjhQ86S,2015-04-01 15:35 +0000,4/1/15,0,976,203,0,0,0,0,0,0,0,0,0,10:35,Wednesday,111,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.54673064,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.83E+17,https://twitter.com/Learnmetrics/status/583248865933004802,_ÑÒAmerica_Ñés students have achieved another record-setting milestone_Ñ - @arneduncan http://t.co/k1l0Hz9nzJ,2015-04-01 12:45 +0000,4/1/15,2,976,181,2,0.011049724,0,0,0,0,2,0,0,7:45,Wednesday,87,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,,,0.54673064,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
